db_id,question,query
chinook_1,"what is the first name and last name of the customer that has email ""luisg@embraer.com.br""?","select firstname ,  lastname from customer where email  =  ""luisg@embraer.com.br"""
architecture,what are the names of the mills which are not located in 'donceel'?,select name from mill where location != 'donceel'
document_management,"return the type code of the document named ""david cv"".","select document_type_code from documents where document_name  =  ""david cv"""
hospital_1,find the names of all patients who have an undergoing treatment and are staying in room 111.,select distinct t2.name from undergoes as t1 join patient as t2 on t1.patient = t2.ssn join stay as t3 on t1.stay  =  t3.stayid where t3.room  =  111
scholar,papers published in 2015 by liwen xiong,"select distinct t3.paperid from writes as t2 join author as t1 on t2.authorid  =  t1.authorid join paper as t3 on t2.paperid  =  t3.paperid where t1.authorname  =  ""liwen xiong"" and t3.year  =  2015;"
insurance_fnol,list all the policy types used by the customer enrolled in the most policies.,select distinct t3.policy_type_code from customers as t1 join customers_policies as t2 on t1.customer_id  =  t2.customer_id join available_policies as t3 on t2.policy_id  =  t3.policy_id where t1.customer_name  =  (select t1.customer_name from customers as t1 join customers_policies as t2 on t1.customer_id  =  t2.customer_id group by t1.customer_name order by count(*) desc limit 1)
world_1,which african countries have a smaller population than that of any country in asia?,"select name from country where continent  =  ""africa""  and population  <  (select min(population) from country where continent  =  ""asia"")"
sports_competition,list the types of competition and the number of competitions of each type.,"select competition_type ,  count(*) from competition group by competition_type"
academic,"return me the papers written by "" h. v. jagadish "" and "" divesh srivastava "" before 2000 .","select t5.title from writes as t3 join author as t2 on t3.aid  =  t2.aid join publication as t5 on t3.pid  =  t5.pid join writes as t4 on t4.pid  =  t5.pid join author as t1 on t4.aid  =  t1.aid where t2.name  =  ""h. v. jagadish"" and t1.name  =  ""divesh srivastava"" and t5.year  <  2000;"
baseball_1,"for each team, return the team name, id and the maximum salary among the team.","select t1.name ,  t1.team_id ,  max(t2.salary) from team as t1 join salary as t2 on t1.team_id  =  t2.team_id group by t1.team_id;"
network_1,show all the grades of the high schoolers.,select grade from highschooler
gas_company,show all locations and the number of gas stations in each location ordered by the count.,"select location ,  count(*) from gas_station group by location order by count(*)"
bike_1,on which day and in which zip code was the min dew point lower than any day in zip code 94107?,"select date ,  zip_code from weather where min_dew_point_f  <  (select min(min_dew_point_f) from weather where zip_code  =  94107)"
allergy_1,what is the total number of students?,select count(*) from student
manufactory_1,select all the data from the products and each product's manufacturer.,select * from products as t1 join manufacturers as t2 on t1.manufacturer  =  t2.code
scholar,how many papers did mirella lapata cite ?,"select distinct count ( t3.citedpaperid ) from writes as t2 join author as t1 on t2.authorid  =  t1.authorid join cite as t3 on t2.paperid  =  t3.citingpaperid where t1.authorname  =  ""mirella lapata"";"
restaurants,how many jamerican cuisine are there in santa cruz county ?,"select count ( * ) from restaurant as t1 join geographic as t2 on t1.city_name  =  t2.city_name where t2.county  =  ""santa cruz county"" and t1.name  =  ""jamerican cuisine"";"
bike_1,what is the average latitude and longitude of all starting stations for the trips?,"select avg(t1.lat) ,  avg(t1.long) from station as t1 join trip as t2 on t1.id  =  t2.start_station_id"
company_office,"find the number of companies whose industry is ""banking"" or ""conglomerate"",","select count(*) from companies where industry  =  ""banking"" or industry  =  ""conglomerate"""
inn_1,find the number of rooms that do not have any reservation.,select count(*) from rooms where roomid not in (select distinct room from reservations)
candidate_poll,"for each sex, what is the name and sex of the candidate with the oppose rate for their sex?","select t1.name ,  t1.sex ,  min(oppose_rate) from people as t1 join candidate as t2 on t1.people_id  =  t2.people_id group by t1.sex"
academic,return me the total citations of papers in pvldb in 2005 .,"select sum ( t2.citation_num ) from publication as t2 join journal as t1 on t2.jid  =  t1.jid where t1.name  =  ""pvldb"" and t2.year  =  2005;"
college_2,list the information of all instructors ordered by their salary in ascending order.,select * from instructor order by salary
customer_deliveries,show the details of all trucks in the order of their license number.,select truck_details from trucks order by truck_licence_number
college_3,what are the department name and room for the course introduction to computer science?,"select t2.dname ,  t2.room from course as t1 join department as t2 on t1.dno  =  t2.dno where t1.cname  =  ""introduction to computer science"""
network_2,what is average age for different job title?,"select avg(age) ,  job from person group by job"
products_gen_characteristics,"what is the unit of measuerment of the product category code ""herbs""?","select unit_of_measure from ref_product_categories where product_category_code  =  ""herbs"""
college_2,what is the id of the instructor who advises of all students from history department?,select i_id from advisor as t1 join student as t2 on t1.s_id  =  t2.id where t2.dept_name  =  'history'
network_2,what is the average age for all person?,select avg(age) from person
voter_2,what are the distinct last names of the students who have class president votes?,select distinct t1.lname from student as t1 join voting_record as t2 on t1.stuid  =  t2.class_president_vote
cre_doc_control_systems,what are all role codes?,select role_code from roles;
driving_school,"what is the maximum, minimum, and average amount of money outsanding for all customers?","select max(amount_outstanding) ,  min(amount_outstanding) ,  avg(amount_outstanding) from customers;"
customers_card_transactions,show all card type codes and the number of customers holding cards in each type.,"select card_type_code ,  count(distinct customer_id) from customers_cards group by card_type_code"
riding_club,"show the residences that have both a player of gender ""m"" and a player of gender ""f"".","select residence from player where gender  =  ""m"" intersect select residence from player where gender  =  ""f"""
university_basketball,list all information regarding the basketball match.,select * from basketball_match
academic,return me the number of papers on vldb conference after 2000 .,"select count ( distinct t2.title ) from publication as t2 join conference as t1 on t2.cid  =  t1.cid where t1.name  =  ""vldb"" and t2.year  >  2000;"
match_season,"what are the names of colleges that have two or more players, listed in descending alphabetical order?",select college from match_season group by college having count(*)  >=  2 order by college desc
tracking_orders,list the names of all distinct products in alphabetical order.,select distinct product_name from products order by product_name
local_govt_mdm,what are the register ids of electoral registries that have the cross reference source system code 'electoral' or 'tax'?,select t1.electoral_register_id from electoral_register as t1 join cmi_cross_references as t2 on t1.cmi_cross_ref_id  =  t2.cmi_cross_ref_id where t2.source_system_code  =  'electoral' or t2.source_system_code  =  'tax'
activity_1,show the number of male and female assistant professors.,"select sex ,  count(*) from faculty where rank  =  ""asstprof"" group by sex"
geo,which state is the city springfield located in,"select state_name from city where city_name  =  ""springfield"";"
bike_1,what are the names of all stations that have more than 10 bikes available and are not located in san jose?,"select t1.name from station as t1 join status as t2 on t1.id  =  t2.station_id group by t2.station_id having avg(bikes_available)  >  10 except select name from station where city  =  ""san jose"""
activity_1,what are the first names of the professors who do not play canoeing or kayaking as activities?,select lname from faculty where rank  =  'professor' except select distinct t1.lname from faculty as t1 join faculty_participates_in as t2 on t1.facid  =  t2.facid join activity as t3 on t2.actid  =  t2.actid where t3.activity_name  =  'canoeing' or t3.activity_name  =  'kayaking'
scholar,monte carlo simulation papers published after 2011,"select distinct t3.paperid from paperkeyphrase as t2 join keyphrase as t1 on t2.keyphraseid  =  t1.keyphraseid join paper as t3 on t3.paperid  =  t2.paperid where t1.keyphrasename  =  ""monte carlo simulation"" and t3.year  >  2011;"
small_bank_1,find the total checking and saving balance of all accounts sorted by the total balance in ascending order.,select t1.balance + t2.balance from checking as t1 join savings as t2 on t1.custid  =  t2.custid order by t1.balance + t2.balance
department_store,what are the ids and names of customers with addressed that contain wy and who do not use a credit card for payment?,"select customer_id ,  customer_name from customers where customer_address like ""%wy%"" and payment_method_code != ""credit card"""
wine_1,what are the names and scores of all wines?,"select name ,  score from wine"
document_management,list all the username and passwords of users with the most popular role.,"select user_name ,  password from users group by role_code order by count(*) desc limit 1"
department_store,list the names of all the distinct customers who bought a keyboard.,"select distinct t1.customer_name from customers as t1 join customer_orders as t2 on t1.customer_id  =  t2.customer_id join order_items as t3 on t2.order_id  =  t3.order_id join products as t4 on t3.product_id  =  t4.product_id where t4.product_name  =  ""keyboard"""
pets_1,find the average and maximum age for each type of pet.,"select avg(pet_age) ,  max(pet_age) ,  pettype from pets group by pettype"
activity_1,show all the distinct buildings that have faculty rooms.,select distinct building from faculty
architecture,what are the ids and names of the architects who built at least 3 bridges ?,"select t1.id ,  t1.name from architect as t1 join bridge as t2 on t1.id  =  t2.architect_id group by t1.id having count(*)  >=  3"
college_2,find the names of all instructors whose salary is greater than the salary of all instructors in the biology department.,select name from instructor where salary  >  (select max(salary) from instructor where dept_name  =  'biology')
farm,what are the themes of farm competitions sorted by year in ascending order?,select theme from farm_competition order by year asc
geo,how many people stay in california,"select population from state where state_name  =  ""california"";"
hospital_1,which nurses are in charge of patients undergoing treatments?,select distinct t2.name from undergoes as t1 join nurse as t2 on t1.assistingnurse  =  t2.employeeid
products_gen_characteristics,"how many characteristics does the product named ""sesame"" have?","select count(*) from products as t1 join product_characteristics as t2 on t1.product_id  =  t2.product_id where t1.product_name  =  ""sesame"""
insurance_fnol,which policy type appears most frequently in the available policies?,select policy_type_code from available_policies group by policy_type_code order by count(*) desc limit 1
music_2,what is the last name of the musician that has been at the back position the most?,"select t2.lastname from performance as t1 join band as t2 on t1.bandmate  =  t2.id where stageposition  =  ""back"" group by lastname order by count(*) desc limit 1"
baseball_1,"what are the first name, last name and id of the player with the most all star game experiences? also list the count.","select t1.name_first , t1.name_last ,  t1.player_id ,   count(*) from player as t1 join all_star as t2 on t1.player_id  =  t2.player_id group by t1.player_id order by count(*) desc limit 1;"
world_1,what is the continent name which anguilla belongs to?,"select continent from country where name  =  ""anguilla"""
restaurants,what is the best restaurant in the bay area for american food ?,"select t3.house_number  ,  t1.name from restaurant as t1 join geographic as t2 on t1.city_name  =  t2.city_name join location as t3 on t1.id  =  t3.restaurant_id where t2.region  =  ""bay area"" and t1.food_type  =  ""american"" and t1.rating  =  ( select max ( t1.rating ) from restaurant as t1 join geographic as t2 on t1.city_name  =  t2.city_name where t2.region  =  ""bay area"" and t1.food_type  =  ""american"" );"
movie_1,what is the name of the movie that has been reviewed the most?,"select t2.title ,  t1.mid from rating as t1 join movie as t2 on t1.mid  =  t2.mid group by t1.mid order by count(*) desc limit 1"
climbing,how many climbers are from each country?,"select country ,  count(*) from climber group by country"
railway,show the locations that have more than one railways.,select location from railway group by location having count(*)  >  1
e_learning,"return the completion date for all the tests that have ""fail"" result.","select t1.date_of_completion from student_course_enrolment as t1 join student_tests_taken as t2 on t1.registration_id  =  t2.registration_id where t2.test_result  =  ""fail"""
gas_company,what are the different main industries for all companies?,select distinct main_industry from company
scholar,papers from pldi 2015 ?,"select distinct t1.paperid from venue as t2 join paper as t1 on t2.venueid  =  t1.venueid where t1.year  =  2015 and t2.venuename  =  ""pldi"";"
body_builder,list the names and origins of people who are not body builders.,"select name ,  birth_place from people except select t1.name ,  t1.birth_place from people as t1 join body_builder as t2 on t1.people_id  =  t2.people_id"
scholar,webkb papers,"select distinct t3.paperid from paperdataset as t2 join dataset as t1 on t2.datasetid  =  t1.datasetid join paper as t3 on t3.paperid  =  t2.paperid where t1.datasetname  =  ""webkb"";"
election,"in which distinct years was the governor ""eliot spitzer""?","select distinct year from party where governor  =  ""eliot spitzer"""
dorm_1,find the last name of students who is either female (sex is f) and living in the city of code bal or male (sex is m) and in age of below 20.,select lname from student where sex  =  'f' and city_code  =  'bal' union select lname from student where sex  =  'm' and age  <  20
college_3,what are the rooms for members of the faculty who are professors and who live in building neb?,"select room from faculty where rank  =  ""professor"" and building  =  ""neb"""
soccer_2,how many hours do the players train on average?,select avg(hs) from player
scholar,what is oren etzioni 's latest paper ?,"select distinct t2.paperid from writes as t2 join author as t1 on t2.authorid  =  t1.authorid join paper as t3 on t2.paperid  =  t3.paperid where t1.authorname  =  ""oren etzioni"" order by t3.year desc;"
imdb,find the movie which is classified in the most number of genres,select t3.title from genre as t2 join classification as t1 on t2.gid  =  t1.gid join movie as t3 on t3.mid  =  t1.msid group by t3.title order by count ( distinct t2.genre  ) desc limit 1;
geo,what state has the highest population,select state_name from state where population  =  ( select max ( population ) from state );
restaurants,show me a good arabic restaurant in mountain view ?,"select t2.house_number  ,  t1.name from restaurant as t1 join location as t2 on t1.id  =  t2.restaurant_id where t2.city_name  =  ""mountain view"" and t1.food_type  =  ""arabic"" and t1.rating  >  2.5;"
scholar,how many co-authors has mark steedman had ?,"select distinct count ( distinct t1.authorid ) from writes as t2 join author as t1 on t2.authorid  =  t1.authorid where t1.authorname != ""mark steedman"" and t2.paperid in ( select t2.paperid from writes as t2 join author as t1 on t2.authorid  =  t1.authorid where t1.authorname  =  ""mark steedman"" );"
bike_1,"in zip code 94107, on which day neither fog nor rain was not observed?","select date from weather where zip_code  =  94107 and events != ""fog"" and events != ""rain"""
film_rank,what are the different film directors?,select distinct director from film
scholar,who are all the co-authors of noah a smith ?,"select distinct t1.authorid from writes as t3 join author as t2 on t3.authorid  =  t2.authorid join writes as t4 on t4.paperid  =  t3.paperid join author as t1 on t4.authorid  =  t1.authorid where t2.authorname  =  ""noah a smith"";"
machine_repair,what are the team and starting year of technicians?,"select team ,  starting_year from technician"
loan_1,what is the total amount of money loaned by banks in new york state?,select sum(t2.amount) from bank as t1 join loan as t2 on t1.branch_id  =  t2.branch_id where t1.state  =  'new york'
cre_docs_and_epenses,"show all document type codes, document type names, document type descriptions.","select document_type_code ,  document_type_name ,  document_type_description from ref_document_types"
e_learning,"on what dates did the student whose personal name is ""karson"" enroll in and complete the courses?","select t1.date_of_enrolment ,  t1.date_of_completion from student_course_enrolment as t1 join students as t2 on t1.student_id  =  t2.student_id where t2.personal_name  =  ""karson"""
tracking_share_transactions,how many distinct transaction types are used in the transactions?,select count(distinct transaction_type_code) from transactions
products_gen_characteristics,return the unit of measure for 'herb' products.,"select unit_of_measure from ref_product_categories where product_category_code  =  ""herbs"""
party_host,which parties have more than 20 hosts? give me the host names for these parties.,select t2.name from party_host as t1 join host as t2 on t1.host_id  =  t2.host_id join party as t3 on t1.party_id  =  t3.party_id where t3.number_of_hosts  >  20
university_basketball,what is the primary conference of the school that has the lowest acc percent score in the competition?,select t1.primary_conference from university as t1 join basketball_match as t2 on t1.school_id  =  t2.school_id order by t2.acc_percent limit 1
college_1,what is the course description and number of credits for qm-261?,"select crs_credit ,  crs_description from course where crs_code  =  'qm-261'"
cre_theme_park,show details of all visitors.,select tourist_details from visitors
customers_and_addresses,what is the average time span of contact channels in the database?,select avg(active_to_date - active_from_date) from customer_contact_channels
pets_1,"for students who have pets, how many pets does each student have?","select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid"
music_4,return the issue dates of volumes by artists who are at most 23 years old?,select issue_date from artist as t1 join volume as t2 on t1.artist_id  =  t2.artist_id where t1.age  <=  23
csu_1,"what campus started in year 1956, has more than 200 full time students, and more than 400 students enrolled?",select t1.campus from campuses as t1 join enrollments as t2 on t1.id  =  t2.campus where t2.year  =  1956 and totalenrollment_ay  >  400 and fte_ay  >  200
cre_doc_tracking_db,what are the names of the employees who authorised the destruction and the employees who destroyed the corresponding documents?,"select t2.employee_name ,  t3.employee_name from documents_to_be_destroyed as t1 join employees as t2 on t1.destruction_authorised_by_employee_id = t2.employee_id join employees as t3 on t1.destroyed_by_employee_id = t3.employee_id;"
student_transcripts_tracking,what is the date and id of the transcript with at least 2 courses listed?,"select t2.transcript_date ,  t1.transcript_id from transcript_contents as t1 join transcripts as t2 on t1.transcript_id  =  t2.transcript_id group by t1.transcript_id having count(*)  >=  2"
city_record,please give me a list of cities whose regional population is over 8000000 or under 5000000.,select city from city where regional_population  >  10000000 union select city from city where regional_population  <  5000000
department_store,what are the names and ids of customers whose address contains tn?,"select customer_name ,  customer_id from customers where customer_address like ""%tn%"""
customers_and_invoices,show the number of customers.,select count(*) from customers
cre_theme_park,which tourist attractions are related to royal family? tell me their details and how we can get there.,"select t1.royal_family_details ,  t2.how_to_get_there from royal_family as t1 join tourist_attractions as t2 on t1.royal_family_id  =  t2.tourist_attraction_id"
allergy_1,show first name and last name for all students.,"select fname ,  lname from student"
school_finance,how many budget record has a budget amount smaller than the invested amount?,select count(*) from budget where budgeted  <  invested
network_2,find alice's friends of friends.,select distinct t4.name from personfriend as t1 join person as t2 on t1.name  =  t2.name join personfriend as t3 on t1.friend  =  t3.name join personfriend as t4 on t3.friend  =  t4.name where t2.name  =  'alice' and t4.name != 'alice'
chinook_1,what is the least common media type in all tracks?,select t1.name from mediatype as t1 join track as t2 on t1.mediatypeid  =  t2.mediatypeid group by t2.mediatypeid order by count(*) asc limit 1
twitter_1,find the name and email for the users who have more than one follower.,"select t1.name ,  t1.email from user_profiles as t1 join follows as t2 on t1.uid  =  t2.f1 group by t2.f1 having count(*)  >  1"
soccer_2,how many different colleges do attend the tryout test?,select count(distinct cname) from tryout
game_1,what are ids and total number of hours played for each game?,"select gameid ,  sum(hours_played) from plays_games group by gameid"
store_1,"what is the unit price of the tune ""fast as a shark""?","select unit_price from tracks where name = ""fast as a shark"";"
bike_1,what is the mean longitude for all stations that have never had more than 10 bikes available?,select avg(long) from station where id not in (select station_id from status group by station_id having max(bikes_available)  >  10)
document_management,what is the name of the document with the most number of sections?,select t1.document_name from documents as t1 join document_sections as t2 on t1.document_code  =  t2.document_code group by t1.document_code order by count(*) desc limit 1
academic,"return me the number of papers in pvldb in "" university of michigan "" .","select count ( distinct t5.title ) from organization as t2 join author as t1 on t2.oid  =  t1.oid join writes as t4 on t4.aid  =  t1.aid join publication as t5 on t4.pid  =  t5.pid join journal as t3 on t5.jid  =  t3.jid where t3.name  =  ""pvldb"" and t2.name  =  ""university of michigan"";"
driving_school,what is the country in which the customer carole bernhard lived?,"select t2.country from customers as t1 join addresses as t2 on t1.customer_address_id = t2.address_id where t1.first_name = ""carole"" and t1.last_name = ""bernhard"""
insurance_fnol,"count the total number of policies used by the customer named ""dayana robel"".","select count(*) from customers as t1 join customers_policies as t2 on t1.customer_id  =  t2.customer_id where t1.customer_name  =  ""dayana robel"""
store_1,how much is the track fast as a shark?,"select unit_price from tracks where name = ""fast as a shark"";"
cre_theme_park,"tell me the name of the staff in charge of the attraction called ""us museum"".","select t1.name from staff as t1 join tourist_attractions as t2 on t1.tourist_attraction_id  =  t2.tourist_attraction_id where t2.name  =  ""us museum"""
network_2,what is the name of the youngest male?,select name from person where gender  =  'male' and age  =  (select min(age) from person where gender  =  'male' )
entrepreneur,"what are the names of entrepreneurs and their corresponding investors, ordered descending by the amount of money requested?","select t2.name ,  t1.company from entrepreneur as t1 join people as t2 on t1.people_id  =  t2.people_id order by t1.money_requested"
protein_institute,"show the names and locations of institutions that are founded after 1990 and have the type ""private"".","select institution ,  location from institution where founded  >  1990 and type  =  'private'"
department_store,what are the staff ids and genders of all staffs whose job title is department manager?,"select t1.staff_id ,  t1.staff_gender from staff as t1 join staff_department_assignments as t2 on t1.staff_id  =  t2.staff_id where t2.job_title_code  =  ""department manager"""
small_bank_1,find the balance of the checking account belonging to an owner whose name contains 'ee'.,select t2.balance from accounts as t1 join checking as t2 on t1.custid  =  t2.custid where t1.name like '%ee%'
flight_4,how many cities are there that have more than 3 airports?,select count(*) from (select city from airports group by city having count(*)  >  3)
assets_maintenance,which engineers have never visited to maintain the assets? list the engineer first name and last name.,"select first_name ,  last_name from maintenance_engineers where engineer_id not in (select engineer_id from engineer_visits)"
college_3,what are the full names of students minoring in department 140?,"select t2.fname ,  t2.lname from minor_in as t1 join student as t2 on t1.stuid  =  t2.stuid where t1.dno  =  140"
formula_1,list the names of all distinct races in reversed  lexicographic order?,select distinct name from races order by name desc
city_record,which cities have regional population above 10000000?,select city from city where regional_population  >  10000000
cre_docs_and_epenses,"what are the different budget type codes, and how many documents are there for each?","select budget_type_code ,  count(*) from documents_with_expenses group by budget_type_code"
activity_1,find the number of activities mark giuliano is involved in.,"select count(*) from faculty as t1 join faculty_participates_in as t2 on t1.facid  =  t2.facid where t1.fname  =  ""mark"" and t1.lname  =  ""giuliano"""
roller_coaster,what is the average speed of roller coasters?,select avg(speed) from roller_coaster
pilot_record,what is the joined year of the pilot of the highest rank?,select join_year from pilot order by rank asc limit 1
concert_singer,what are all the song names by singers who are older than average?,select song_name from singer where age  >  (select avg(age) from singer)
academic,"return me the number of papers in "" university of michigan "" in databases area .","select count ( distinct t4.title ) from domain_author as t6 join author as t1 on t6.aid  =  t1.aid join domain as t3 on t3.did  =  t6.did join domain_publication as t2 on t3.did  =  t2.did join organization as t5 on t5.oid  =  t1.oid join publication as t4 on t4.pid  =  t2.pid where t3.name  =  ""databases"" and t5.name  =  ""university of michigan"";"
twitter_1,how many users are there?,select count(*) from user_profiles
scholar,papers published in 2015 by liwen xiong,"select distinct t3.paperid from writes as t2 join author as t1 on t2.authorid  =  t1.authorid join paper as t3 on t2.paperid  =  t3.paperid where t1.authorname  =  ""liwen xiong"" and t3.year  =  2015;"
product_catalog,find the entry name of the catalog with the highest price (in usd).,select catalog_entry_name from catalog_contents order by price_in_dollars desc limit 1
tracking_grants_for_research,when did researchers start and stop working?,"select date_from ,  date_to from project_staff where role_code  =  'researcher'"
driving_school,what are the first and last names of all customers with between 1000 and 3000 dollars outstanding?,"select first_name ,  last_name from customers where amount_outstanding between 1000 and 3000;"
scholar,how many papers in nature communications 2015,"select distinct count ( t1.paperid ) from venue as t2 join paper as t1 on t2.venueid  =  t1.venueid where t1.year  =  2015 and t2.venuename  =  ""nature communications"";"
gas_company,list the company name and rank for all companies in the decreasing order of their sales.,"select company ,  rank from company order by sales_billion desc"
storm_record,"what are the codes and names for all regions, sorted by codes?","select region_code ,  region_name from region order by region_code"
soccer_2,find the names of schools that have some players in the mid position but not in the goalie position.,select cname from  tryout where ppos  =  'mid' except select cname from  tryout where ppos  =  'goalie'
museum_visit,how many museums were opened after 2013 or before 2008?,select count(*) from museum where open_year  >  2013 or open_year  <  2008
coffee_shop,which membership card has more than 5 members?,select membership_card from member group by membership_card having count(*)  >  5
cre_docs_and_epenses,count the number of documents with expenses.,select count(*) from documents_with_expenses
cre_docs_and_epenses,count the number of budget codes.,select count(*) from ref_budget_codes
twitter_1,list the text of all tweets in the order of date.,select text from tweets order by createdate
game_1,what is the total number of hours per work and number of games played by david shieber?,"select sum(hoursperweek) ,  sum(gamesplayed) from sportsinfo as t1 join student as t2 on t1.stuid  =  t2.stuid where t2.fname  =  ""david"" and t2.lname  =  ""shieber"""
apartment_rentals,"what are the address and phone number of the buildings managed by ""brenden""?","select building_address ,  building_phone from apartment_buildings where building_manager	 =  ""brenden"""
mountain_photos,show the name and prominence of the mountains whose picture is not taken by a lens of brand 'sigma'.,"select name ,  prominence from mountain except select t1.name ,  t1.prominence from mountain as t1 join photos as t2 on t1.id  =  t2.mountain_id join camera_lens as t3 on t2.camera_lens_id  =  t3.id where t3.brand  =  'sigma'"
inn_1,find the names of rooms that have been reserved for more than 60 times.,select t2.roomname from reservations as t1 join rooms as t2 on t1.room  =  t2.roomid group by t1.room having count(*)  >  60
college_1,what is the count and code of the job with the most employee?,"select emp_jobcode ,  count(*) from employee group by emp_jobcode order by count(*) desc limit 1"
geo,show major cities in kansas,"select city_name from city where population  >  150000 and state_name  =  ""kansas"";"
scholar,how many papers were written on convolutional neural networks in 2016 ?,"select distinct count ( t3.paperid ) from paperkeyphrase as t2 join keyphrase as t1 on t2.keyphraseid  =  t1.keyphraseid join paper as t3 on t3.paperid  =  t2.paperid where t1.keyphrasename  =  ""convolutional neural networks"" and t3.year  =  2016;"
restaurant_1,list all students' first names and last names who majored in 600.,"select fname , lname from student where major  =  600;"
apartment_rentals,"which apartment type has the largest number of total rooms? return the apartment type code, its number of bathrooms and number of bedrooms.","select apt_type_code ,  bathroom_count ,  bedroom_count from apartments group by apt_type_code order by sum(room_count) desc limit 1"
cre_theme_park,what are the average prices of hotels grouped by their pet policy.,"select pets_allowed_yn ,  avg(price_range) from hotels group by pets_allowed_yn"
products_gen_characteristics,"how many products are there under the category ""seeds""?","select count(*) from products where product_category_code  =  ""seeds"""
college_3,what are the phones of departments in room 268?,select dphone from department where room  =  268
sakila_1,give the districts which have two or more addresses.,select district from address group by district having count(*)  >=  2
geo,what are the lakes in states bordering texas,"select lake_name from lake where state_name in ( select border from border_info where state_name  =  ""texas"" );"
medicine_enzyme_interaction,what is the count of enzymes without any interactions?,select count(*) from enzyme where id not in ( select enzyme_id from medicine_enzyme_interaction );
academic,"return me the number of authors who have cooperated with "" h. v. jagadish "" .","select count ( distinct t2.name ) from writes as t3 join author as t2 on t3.aid  =  t2.aid join publication as t5 on t3.pid  =  t5.pid join writes as t4 on t4.pid  =  t5.pid join author as t1 on t4.aid  =  t1.aid where t1.name  =  ""h. v. jagadish"";"
wine_1,what are the grapes and appelations of each wine?,"select grape ,  appelation from wine"
college_2,what are the ids for courses that were offered in both fall of 2009 and spring of 2010?,select course_id from section where semester  =  'fall' and year  =  2009 intersect select course_id from section where semester  =  'spring' and year  =  2010
chinook_1,find the maximum and minimum millisecond lengths of pop tracks.,"select max(milliseconds) ,  min(milliseconds) from genre as t1 join track as t2 on t1.genreid  =  t2.genreid where t1.name  =  ""pop"""
cre_doc_control_systems,what is the document status description of the document with id 1?,select ref_document_status.document_status_description from ref_document_status join documents on documents.document_status_code = ref_document_status.document_status_code where documents.document_id = 1;
csu_1,how many universities have a campus fee greater than the average?,select count(*) from csu_fees where campusfee  >  (select avg(campusfee) from csu_fees)
railway,what is the average age for all managers?,select avg(age) from manager
theme_gallery,"what are the names, ages, and countries of artists, sorted by the year they joined?","select name ,  age ,  country from artist order by year_join"
activity_1,"show the faculty id of each faculty member, along with the number of students he or she advises.","select t1.facid ,  count(*) from faculty as t1 join student as t2 on t1.facid  =  t2.advisor group by t1.facid"
culture_company,show all distinct publishers for books.,select distinct publisher from book_club
geo,how many cities named austin are there in the usa,"select count ( city_name ) from city where city_name  =  ""austin"";"
network_2,what is the name and age of every male? order the results by age.,select name from person where gender  =  'male' order by age
swimming,how many stadiums are there?,select count(*) from stadium
